x,y,z,radius
0.01426484,-0.00983900,-0.01517015,0.02165836
0.06239453,-0.00983900,-0.01517015,0.02165836
0.11052422,-0.00983900,-0.01517015,0.02165836
0.15865391,-0.00983900,-0.01517015,0.02165836
0.11052422,-0.00983900,0.03295953,0.02165836
